id,name,description,price,category,subcategory,brand,seller_id,quantity,images,in_stock,created_at,updated_at,review_count,rating
2001,Syngenta Sahel F1 Hybrid Tomato Seeds,"Syngenta Sahel F1 Hybrid Tomato Seeds - Premium Quality Climbing Tomato Variety

About Sahel F1 Hybrid Tomato Seeds:
Sahel F1 is a high-yielding, indeterminate climbing tomato variety developed by Syngenta. This hybrid variety is specially designed for commercial cultivation and home gardens.

Key Features:
• High yielding indeterminate variety with excellent fruit quality
• Uniform fruit size and shape with attractive red color
• Strong plant vigor with good disease resistance
• Suitable for both open field and protected cultivation
• Long harvesting period with consistent production
• Excellent shelf life and transportation quality

Plant Characteristics:
• Plant Type: Indeterminate climbing variety
• Fruit Shape: Round to slightly flattened
• Fruit Weight: 80-100 grams per fruit
• Fruit Color: Bright red when mature
• Days to Maturity: 70-75 days from transplanting

Growing Conditions:
• Sowing Season: Kharif and Rabi seasons
• Seed Rate: 200-250 grams per acre
• Spacing: 60 x 45 cm (plant to plant and row to row)
• Soil Type: Well-drained fertile soil with pH 6.0-7.0
• Temperature: 20-25°C for optimal growth

Disease Resistance:
• Tolerant to Tomato Leaf Curl Virus (ToLCV)
• Resistant to Early Blight and Late Blight
• Good tolerance to bacterial wilt

Yield Potential:
• Expected yield: 25-30 tons per acre under good management
• Continuous bearing for 4-5 months
• High marketable fruit percentage

Package Contents: 10 grams (approximately 3000-3500 seeds)
Seed Treatment: Pre-treated with Fludioxonil fungicide for better germination and disease protection

Storage Instructions: Store in cool, dry place away from direct sunlight. Use within 2 years of manufacturing date for best results.",299,Seeds,Vegetable Seeds,Syngenta,8524a391-b371-42f3-86fe-a6f095fab145,150,"[""https://images.unsplash.com/photo-1592841200221-a6898f307baa?w=400&h=400&fit=crop""]",TRUE,2025-07-11 15:40:58.807068+00,2025-07-11 15:40:58.807068+00,0,0
2002,UPL Advanta 12021 F1 Hybrid Tomato Seeds,"UPL Advanta 12021 F1 Hybrid Tomato Seeds - High Performance Determinate Variety

About Advanta 12021 F1 Hybrid Tomato:
Advanta 12021 is a premium F1 hybrid tomato variety developed by UPL Limited. This determinate variety is ideal for commercial cultivation with excellent yield potential and superior fruit quality.

Key Features:
• Determinate growth habit suitable for mechanical harvesting
• Uniform fruit ripening with excellent color development
• High fruit setting capacity even under stress conditions
• Superior post-harvest quality with extended shelf life
• Resistant to major tomato diseases
• Suitable for processing and fresh market

Plant Characteristics:
• Plant Type: Determinate bush type
• Plant Height: 60-80 cm
• Fruit Shape: Round to oval
• Fruit Weight: 70-90 grams per fruit
• Fruit Color: Deep red with uniform coloring
• Days to Maturity: 65-70 days from transplanting

Growing Specifications:
• Sowing Season: Year-round cultivation possible
• Seed Rate: 150-200 grams per acre
• Spacing: 45 x 30 cm for optimal plant density
• Soil Requirement: Well-drained loamy soil with good organic matter
• pH Range: 6.0-7.5 for best performance
• Water Requirement: Regular irrigation with good drainage

Disease Resistance Profile:
• High resistance to Tomato Mosaic Virus (TMV)
• Tolerant to Fusarium Wilt Race 1 & 2
• Good field tolerance to bacterial diseases
• Resistant to nematode infestation

Yield and Quality:
• Average yield: 20-25 tons per acre
• High percentage of Grade A fruits
• Excellent firmness for transportation
• Good processing quality with high TSS content
• Uniform fruit size reduces grading costs

Cultivation Tips:
• Use raised beds for better drainage
• Apply balanced fertilization program
• Regular monitoring for pest and disease management
• Proper staking and pruning for better fruit development

Package: 10 grams (approximately 3500-4000 seeds)
Germination: 85-90% under optimal conditions
Seed Validity: 2 years from date of packaging",349,Seeds,Vegetable Seeds,UPL Advanta,8524a391-b371-42f3-86fe-a6f095fab145,120,"[""https://images.unsplash.com/photo-1546470427-e26264be0b0d?w=400&h=400&fit=crop""]",TRUE,2025-07-11 15:40:58.807068+00,2025-07-11 15:40:58.807068+00,0,0
2003,Gentex Remi LX 958 F1 Hybrid Chilli Seeds,"Gentex Remi LX 958 F1 Hybrid Chilli Seeds - Premium Hot Chilli Variety

About Remi LX 958 F1 Hybrid Chilli:
Remi LX 958 is a superior F1 hybrid chilli variety developed by Gentex Seeds. This variety is known for its exceptional pungency, high yield potential, and excellent fruit quality suitable for both fresh market and processing.

Key Features:
• High pungency level with excellent flavor profile
• Uniform fruit size and shape with attractive appearance
• Strong plant vigor with good branching habit
• Extended harvesting period with continuous fruit setting
• Excellent disease resistance package
• Suitable for both open field and protected cultivation

Plant Characteristics:
• Plant Type: Semi-determinate with strong branching
• Plant Height: 80-100 cm with good spread
• Fruit Length: 8-10 cm long, slender shape
• Fruit Color: Dark green turning to bright red when mature
• Fruit Weight: 8-12 grams per fruit
• Days to First Harvest: 60-65 days from transplanting

Growing Requirements:
• Sowing Season: Kharif and Rabi seasons
• Seed Rate: 250-300 grams per acre
• Spacing: 60 x 45 cm for optimal plant development
• Soil Type: Well-drained fertile soil rich in organic matter
• pH Range: 6.0-7.0 for best growth
• Temperature: 25-30°C during growing season

Disease Resistance:
• High resistance to Chilli Leaf Curl Virus
• Tolerant to Anthracnose and Fruit Rot
• Good field tolerance to bacterial leaf spot
• Resistant to thrips and aphid damage

Quality Parameters:
• High capsaicin content for excellent pungency
• Good drying quality with low moisture content
• Excellent color retention after processing
• High oleoresin content suitable for extraction
• Good shelf life in fresh and dried form

Yield Potential:
• Fresh yield: 12-15 tons per acre
• Dry yield: 2.5-3.0 tons per acre
• Continuous picking for 4-5 months
• High fruit setting percentage even under stress

Cultivation Guidelines:
• Prepare well-pulverized seedbed for nursery
• Transplant 25-30 days old seedlings
• Apply recommended dose of fertilizers
• Regular irrigation with proper drainage
• Integrated pest and disease management

Package Details: 10 grams (approximately 1500-1800 seeds)
Seed Treatment: Treated with recommended fungicides
Storage: Store in cool, dry conditions
Shelf Life: 2 years under proper storage conditions",279,Seeds,Vegetable Seeds,Gentex,8524a391-b371-42f3-86fe-a6f095fab145,100,"[""https://images.unsplash.com/photo-1583663848850-46af132dc08e?w=400&h=400&fit=crop""]",TRUE,2025-07-11 15:40:58.807068+00,2025-07-11 15:40:58.807068+00,0,0
2004,Syngenta NS 404 F1 Hybrid Cucumber Seeds,"Syngenta NS 404 F1 Hybrid Cucumber Seeds - Premium Slicing Cucumber Variety

About NS 404 F1 Hybrid Cucumber:
NS 404 is a high-performance F1 hybrid cucumber variety developed by Syngenta for commercial cultivation. This variety combines excellent fruit quality with high yield potential and strong disease resistance.

Key Features:
• Excellent fruit quality with uniform size and shape
• High yield potential with extended harvesting period
• Strong plant vigor with good disease resistance
• Suitable for both fresh market and processing
• Excellent shelf life and transportation quality
• Adaptable to various growing conditions

Plant Characteristics:
• Plant Type: Indeterminate climbing variety
• Vine Length: 2-3 meters with strong growth
• Fruit Length: 18-22 cm
• Fruit Diameter: 4-5 cm
• Fruit Color: Dark green with attractive appearance
• Fruit Weight: 150-200 grams per fruit
• Days to First Harvest: 45-50 days from sowing

Growing Specifications:
• Sowing Season: Year-round cultivation possible
• Seed Rate: 1-1.5 kg per acre
• Spacing: 100 x 50 cm for proper vine development
• Soil Type: Well-drained fertile soil with good organic content
• pH Range: 6.0-7.0 for optimal growth
• Water Requirement: Regular irrigation with good drainage

Disease Resistance Package:
• High resistance to Downy Mildew
• Tolerant to Powdery Mildew
• Good field tolerance to Angular Leaf Spot
• Resistant to Cucumber Mosaic Virus
• Tolerant to bacterial wilt

Quality Attributes:
• Crisp texture with excellent eating quality
• Uniform dark green color throughout fruit
• Minimal seed cavity with tender seeds
• Good keeping quality after harvest
• Excellent processing characteristics
• High water content with refreshing taste

Yield Performance:
• Average yield: 15-20 tons per acre
• Continuous harvesting for 2-3 months
• High percentage of marketable fruits
• Consistent fruit quality throughout season
• Good fruit setting under various conditions

Cultivation Practices:
• Direct sowing or transplanting both suitable
• Provide proper support structure for climbing
• Regular harvesting to maintain continuous production
• Balanced nutrition program for optimal yield
• Integrated pest management for healthy crop

Package Information: 100 grams (approximately 3000-3500 seeds)
Germination Rate: 90-95% under favorable conditions
Seed Validity: 3 years from manufacturing date
Storage: Keep in cool, dry place away from moisture",399,Seeds,Vegetable Seeds,Syngenta,8524a391-b371-42f3-86fe-a6f095fab145,80,"[""https://images.unsplash.com/photo-1449824913935-59a10b8d2000?w=400&h=400&fit=crop""]",TRUE,2025-07-11 15:40:58.807068+00,2025-07-11 15:40:58.807068+00,0,0
2005,Seminis Malini F1 Hybrid Cucumber Seeds,"Seminis Malini F1 Hybrid Cucumber Seeds - Superior Quality Pickling Cucumber

About Malini F1 Hybrid Cucumber:
Malini is a premium F1 hybrid cucumber variety from Seminis, specifically developed for pickling and fresh market use. This variety offers exceptional fruit quality with high yield potential and excellent disease resistance.

Key Features:
• Ideal for both pickling and fresh consumption
• Uniform fruit size perfect for commercial processing
• High fruit setting capacity under various conditions
• Excellent disease resistance package
• Strong plant vigor with good adaptability
• Extended shelf life with superior post-harvest quality

Plant Characteristics:
• Plant Type: Determinate bush type suitable for dense planting
• Plant Spread: Compact growth habit
• Fruit Length: 12-15 cm ideal for pickling
• Fruit Diameter: 3-4 cm uniform thickness
• Fruit Color: Medium green with attractive appearance
• Fruit Weight: 80-120 grams per fruit
• Days to Maturity: 40-45 days from sowing

Growing Parameters:
• Sowing Season: Suitable for multiple seasons
• Seed Rate: 1.5-2.0 kg per acre
• Plant Spacing: 75 x 40 cm for optimal density
• Soil Requirement: Well-drained loamy soil with pH 6.0-7.5
• Temperature Range: 20-30°C for best performance
• Water Management: Regular irrigation avoiding waterlogging

Disease Resistance Profile:
• Excellent resistance to Downy Mildew
• High tolerance to Powdery Mildew
• Resistant to Cucumber Mosaic Virus (CMV)
• Good field tolerance to Angular Leaf Spot
• Tolerant to Anthracnose

Quality Features:
• Crisp texture with excellent crunch
• Minimal bitterness with sweet flavor
• Uniform green color without yellowing
• Small seed cavity with tender seeds
• Excellent pickling quality with good firmness
• High water content with refreshing taste

Yield and Performance:
• Expected yield: 12-18 tons per acre
• High percentage of Grade A fruits
• Consistent fruit quality throughout harvest
• Good fruit setting even under stress conditions
• Extended harvesting period of 60-70 days

Cultivation Guidelines:
• Prepare well-drained raised beds
• Apply recommended organic and inorganic fertilizers
• Maintain proper plant spacing for air circulation
• Regular monitoring for pest and disease management
• Harvest at proper maturity for best quality

Special Features:
• Suitable for mechanical harvesting
• Excellent processing quality for pickle industry
• Good transportation and storage characteristics
• Uniform maturity for bulk harvesting
• High market acceptance due to consistent quality

Package: 50 grams (approximately 1500-2000 seeds)
Germination: 88-92% under optimal conditions
Seed Life: 3 years under proper storage
Treatment: Seeds treated with fungicide for better establishment",329,Seeds,Vegetable Seeds,Seminis,8524a391-b371-42f3-86fe-a6f095fab145,90,"[""https://images.unsplash.com/photo-1604977042946-1eecc30f269e?w=400&h=400&fit=crop""]",TRUE,2025-07-11 15:40:58.807068+00,2025-07-11 15:40:58.807068+00,0,0
2006,Raadhika F1 Hybrid Okra Seeds,"Raadhika F1 Hybrid Okra (Bhindi) Seeds - Premium Quality High Yielding Variety

About Raadhika F1 Hybrid Okra:
Raadhika is a superior F1 hybrid okra variety developed by Advanta Seeds. This variety is known for its exceptional yield potential, uniform fruit quality, and strong disease resistance, making it ideal for commercial cultivation.

Key Features:
• High yielding F1 hybrid with consistent performance
• Uniform fruit size and shape with attractive green color
• Strong plant vigor with good branching habit
• Extended harvesting period with continuous fruit production
• Excellent disease and pest resistance
• Suitable for both fresh market and processing

Plant Characteristics:
• Plant Type: Semi-determinate with strong branching
• Plant Height: 120-150 cm with good spread
• Fruit Length: 12-15 cm at harvest maturity
• Fruit Color: Dark green with attractive appearance
• Fruit Shape: Pentagonal cross-section, straight pods
• Days to First Harvest: 45-50 days from sowing

Growing Requirements:
• Sowing Season: Kharif and summer seasons
• Seed Rate: 4-5 kg per acre for optimal plant population
• Spacing: 45 x 30 cm for proper plant development
• Soil Type: Well-drained fertile soil with good organic matter
• pH Range: 6.0-7.5 for best growth and yield
• Temperature: 25-35°C during growing season

Disease Resistance:
• High resistance to Yellow Vein Mosaic Virus (YVMV)
• Tolerant to Powdery Mildew and Cercospora Leaf Spot
• Good field tolerance to root rot diseases
• Resistant to major insect pests including jassids and aphids

Quality Parameters:
• Tender pods with minimal fiber content
• Excellent cooking quality with good taste
• Uniform dark green color throughout harvest
• Good shelf life with minimal post-harvest losses
• High nutritional value with good mucilage content
• Suitable for export quality standards

Yield Potential:
• Average yield: 12-15 tons per acre under good management
• Continuous harvesting for 3-4 months
• High fruit setting percentage
• Consistent fruit quality throughout season
• Good performance under varying climatic conditions

Cultivation Practices:
• Direct sowing in well-prepared field
• Apply balanced fertilization program
• Regular irrigation with proper drainage
• Timely harvesting every 2-3 days for tender pods
• Integrated pest and disease management

Special Advantages:
• Suitable for mechanical harvesting
• Good transportation and storage quality
• High market acceptance due to uniform appearance
• Excellent processing quality for value addition
• Adaptable to different agro-climatic conditions

Package Details: 500 grams (approximately 12000-15000 seeds)
Germination Rate: 85-90% under favorable conditions
Seed Treatment: Pre-treated with recommended fungicides
Storage Instructions: Store in cool, dry place
Shelf Life: 2 years from date of packaging",249,Seeds,Vegetable Seeds,Advanta,8524a391-b371-42f3-86fe-a6f095fab145,200,"[""https://images.unsplash.com/photo-1597714026720-8f74c62310ba?w=400&h=400&fit=crop""]",TRUE,2025-07-11 15:40:58.807068+00,2025-07-11 15:40:58.807068+00,0,0
2007,Black Diamond F1 Hybrid Brinjal Seeds,"Black Diamond F1 Hybrid Brinjal (Eggplant) Seeds - Premium Long Purple Variety

About Black Diamond F1 Hybrid Brinjal:
Black Diamond is a superior F1 hybrid brinjal variety known for its excellent fruit quality, high yield potential, and strong disease resistance. This variety produces long, attractive purple fruits ideal for commercial cultivation and home gardens.

Key Features:
• High yielding F1 hybrid with consistent fruit production
• Long, attractive purple fruits with glossy appearance
• Strong plant vigor with good branching and fruit setting
• Excellent disease resistance package
• Extended harvesting period with continuous production
• Suitable for both fresh market and processing

Plant Characteristics:
• Plant Type: Semi-determinate with strong upright growth
• Plant Height: 80-100 cm with good branching
• Fruit Length: 18-22 cm long, cylindrical shape
• Fruit Color: Deep purple with glossy skin
• Fruit Weight: 200-250 grams per fruit
• Days to First Harvest: 65-70 days from transplanting

Growing Specifications:
• Sowing Season: Kharif and Rabi seasons
• Seed Rate: 200-250 grams per acre
• Spacing: 75 x 60 cm for optimal plant development
• Soil Type: Well-drained fertile soil rich in organic matter
• pH Range: 6.0-7.0 for best performance
• Temperature: 25-30°C during growing season

Disease Resistance Profile:
• High resistance to Bacterial Wilt
• Tolerant to Shoot and Fruit Borer damage
• Good field tolerance to Little Leaf disease
• Resistant to Verticillium Wilt
• Tolerant to nematode infestation

Quality Features:
• Tender flesh with minimal seeds
• Excellent cooking quality with good taste
• Uniform purple color without bitterness
• Good shelf life with minimal post-harvest losses
• High nutritional value with good fiber content
• Suitable for various culinary preparations

Yield Performance:
• Expected yield: 25-30 tons per acre
• Continuous harvesting for 4-5 months
• High percentage of marketable fruits
• Consistent fruit quality throughout season
• Good fruit setting under stress conditions

Cultivation Guidelines:
• Raise seedlings in nursery and transplant
• Apply recommended dose of organic and inorganic fertilizers
• Regular irrigation with proper drainage
• Timely harvesting for tender fruits
• Integrated pest and disease management

Package: 10 grams (approximately 2500-3000 seeds)
Germination: 80-85% under optimal conditions
Seed Life: 3 years under proper storage
Treatment: Seeds treated with fungicide for disease protection",389,Seeds,Vegetable Seeds,FB Seeds,8524a391-b371-42f3-86fe-a6f095fab145,75,"[""https://images.unsplash.com/photo-1615485290382-441e4d049cb5?w=400&h=400&fit=crop""]",TRUE,2025-07-11 15:40:58.807068+00,2025-07-11 15:40:58.807068+00,0,0
2008,Syngenta Ivory White Radish Seeds,"Syngenta Ivory White Radish Seeds - Premium Quality Fast Growing Variety

About Ivory White Radish:
Ivory White is a superior radish variety developed by Syngenta, known for its fast growth, excellent root quality, and uniform appearance. This variety is ideal for both commercial cultivation and home gardens.

Key Features:
• Fast growing variety with quick maturity
• Uniform white roots with attractive appearance
• Crisp texture with mild, sweet flavor
• Good storage quality with extended shelf life
• Suitable for both fresh market and processing
• High germination rate with vigorous growth

Plant Characteristics:
• Root Length: 15-20 cm long, cylindrical shape
• Root Diameter: 3-4 cm uniform thickness
• Root Color: Pure white with smooth skin
• Root Weight: 150-200 grams per root
• Leaf Color: Dark green with good vigor
• Days to Maturity: 35-40 days from sowing

Growing Requirements:
• Sowing Season: October to February (Rabi season)
• Seed Rate: 8-10 kg per acre for optimal plant density
• Spacing: 30 x 15 cm or 40 x 10 cm
• Soil Type: Well-drained sandy loam soil
• pH Range: 6.0-7.0 for best root development
• Temperature: 15-25°C during growing period

Quality Parameters:
• Crisp and juicy texture with excellent eating quality
• Mild pungency with sweet undertones
• Uniform white color throughout root
• Good keeping quality after harvest
• High water content with refreshing taste
• Rich in vitamins and minerals

Yield Potential:
• Average yield: 20-25 tons per acre
• High percentage of marketable roots
• Uniform maturity for bulk harvesting
• Good field performance under various conditions
• Consistent quality throughout harvest period

Cultivation Practices:
• Direct sowing in well-prepared beds
• Maintain proper soil moisture throughout growth
• Apply balanced fertilization program
• Regular weeding and thinning for proper root development
• Harvest at proper maturity for best quality

Special Features:
• Suitable for succession planting
• Good bolt resistance under favorable conditions
• Excellent for salad and cooking purposes
• High market acceptance due to uniform appearance
• Suitable for value-added processing

Package Information: 500 grams (approximately 25000-30000 seeds)
Germination Rate: 85-90% under favorable conditions
Seed Validity: 2 years from manufacturing date
Storage: Store in cool, dry place away from moisture",199,Seeds,Vegetable Seeds,Syngenta,8524a391-b371-42f3-86fe-a6f095fab145,180,"[""https://images.unsplash.com/photo-1597362925123-77861d3fbac7?w=400&h=400&fit=crop""]",TRUE,2025-07-11 15:40:58.807068+00,2025-07-11 15:40:58.807068+00,0,0
2009,All Season Spinach Seeds,"All Season Spinach Seeds - Nutritious Leafy Green Vegetable

About All Season Spinach:
All Season Spinach is a versatile variety that can be grown throughout the year in suitable climatic conditions. This variety is known for its tender leaves, high nutritional value, and excellent adaptability to different growing conditions.

Key Features:
• Suitable for year-round cultivation
• Fast growing with tender, nutritious leaves
• High yielding variety with multiple harvests
• Good bolt resistance in varying temperatures
• Rich in vitamins, minerals, and antioxidants
• Suitable for both fresh consumption and processing

Plant Characteristics:
• Plant Type: Leafy green with rosette growth habit
• Leaf Size: Medium to large, dark green leaves
• Leaf Texture: Smooth, tender leaves with good thickness
• Plant Height: 15-25 cm at harvest maturity
• Days to First Harvest: 25-30 days from sowing
• Harvesting Period: Multiple cuts possible

Growing Specifications:
• Sowing Season: Year-round with seasonal preferences
• Seed Rate: 15-20 kg per acre for dense planting
• Spacing: 20 x 10 cm for optimal leaf development
• Soil Type: Well-drained fertile soil rich in nitrogen
• pH Range: 6.0-7.5 for best growth
• Temperature: 15-25°C for optimal leaf quality

Nutritional Benefits:
• High in iron, calcium, and vitamin K
• Rich source of folate and vitamin A
• Good source of dietary fiber and protein
• Contains antioxidants like lutein and zeaxanthin
• Low in calories but high in nutrients
• Beneficial for overall health and immunity

Quality Features:
• Tender leaves with mild, pleasant flavor
• Dark green color indicating high chlorophyll content
• Good shelf life when properly stored
• Minimal oxalate content compared to other varieties
• Excellent for salads, cooking, and juicing
• High water content with crisp texture

Yield Performance:
• Expected yield: 8-12 tons per acre
• Multiple harvests from single sowing
• Continuous production for 2-3 months
• High leaf to stem ratio
• Good regrowth after cutting

Cultivation Guidelines:
• Direct sowing in well-prepared beds
• Maintain consistent soil moisture
• Apply nitrogen-rich fertilizers for leafy growth
• Regular harvesting to encourage new growth
• Protection from extreme heat and cold

Package: 500 grams (approximately 15000-20000 seeds)
Germination: 80-85% under optimal conditions
Seed Life: 3 years under proper storage conditions
Storage: Keep in cool, dry place away from direct sunlight",159,Seeds,Vegetable Seeds,Green Valley,8524a391-b371-42f3-86fe-a6f095fab145,250,"[""https://images.unsplash.com/photo-1576045057995-568f588f82fb?w=400&h=400&fit=crop""]",TRUE,2025-07-11 15:40:58.807068+00,2025-07-11 15:40:58.807068+00,0,0
2010,Pusa Kesar Carrot Seeds,"Pusa Kesar Carrot Seeds - Premium Orange Root Vegetable

About Pusa Kesar Carrot:
Pusa Kesar is a popular carrot variety developed by IARI (Indian Agricultural Research Institute). This variety is known for its excellent root quality, attractive orange color, and high nutritional value, making it ideal for both commercial cultivation and home gardens.

Key Features:
• Excellent root quality with uniform orange color
• High carotene content with superior nutritional value
• Good storage quality with extended shelf life
• Suitable for both fresh market and processing
• Strong plant vigor with good adaptability
• High market acceptance due to consistent quality

Plant Characteristics:
• Root Length: 15-20 cm long, conical shape
• Root Diameter: 3-4 cm at shoulder
• Root Color: Deep orange with uniform coloring
• Root Weight: 100-150 grams per root
• Leaf Color: Dark green with good vigor
• Days to Maturity: 90-100 days from sowing

Growing Requirements:
• Sowing Season: October to January (Rabi season)
• Seed Rate: 4-5 kg per acre for optimal plant density
• Spacing: 30 x 5 cm for proper root development
• Soil Type: Well-drained sandy loam soil
• pH Range: 6.0-7.0 for best root formation
• Temperature: 16-20°C during growing period

Nutritional Profile:
• High beta-carotene content (Vitamin A precursor)
• Good source of dietary fiber and potassium
• Contains vitamin K and vitamin C
• Rich in antioxidants and phytonutrients
• Low in calories but high in nutrients
• Beneficial for eye health and immunity

Quality Features:
• Sweet, crisp texture with excellent eating quality
• Uniform orange color throughout root
• Good core to cortex ratio
• Minimal cracking and forking
• Excellent cooking and processing quality
• High juice content suitable for extraction

Yield Performance:
• Expected yield: 25-30 tons per acre
• High percentage of marketable roots
• Uniform maturity for bulk harvesting
• Good field performance under various conditions
• Consistent quality throughout harvest period

Cultivation Practices:
• Direct sowing in well-prepared raised beds
• Maintain proper soil moisture throughout growth
• Apply balanced fertilization with emphasis on potash
• Regular weeding and thinning for proper root development
• Harvest at proper maturity for best quality and storage

Special Advantages:
• Suitable for export quality standards
• Good processing quality for value addition
• High market demand due to superior color
• Excellent for fresh consumption and cooking
• Good adaptation to Indian climatic conditions

Package Information: 500 grams (approximately 200000-250000 seeds)
Germination Rate: 75-80% under favorable conditions
Seed Validity: 2 years from manufacturing date
Storage: Store in cool, dry place with proper ventilation",229,Seeds,Vegetable Seeds,IARI Pusa,8524a391-b371-42f3-86fe-a6f095fab145,160,"[""https://images.unsplash.com/photo-1598170845058-32b9d6a5da37?w=400&h=400&fit=crop""]",TRUE,2025-07-11 15:40:58.807068+00,2025-07-11 15:40:58.807068+00,0,0
