id,name,description,price,category,subcategory,brand,seller_id,quantity,images,in_stock,created_at,updated_at,review_count,rating
2001,Syngenta Sahel F1 Hybrid Tomato Seeds,"Syngenta Sahel F1 Hybrid Tomato Seeds - Premium Quality Climbing Tomato Variety. High yielding indeterminate variety with excellent fruit quality. Uniform fruit size and shape with attractive red color. Strong plant vigor with good disease resistance. Suitable for both open field and protected cultivation. Long harvesting period with consistent production. Plant Type: Indeterminate climbing variety. Fruit Weight: 80-100 grams per fruit. Days to Maturity: 70-75 days from transplanting. Expected yield: 25-30 tons per acre under good management. Package: 10 grams (approximately 3000-3500 seeds).",299,Seeds,Vegetable Seeds,Syngenta,8524a391-b371-42f3-86fe-a6f095fab145,150,"[""https://images.unsplash.com/photo-1606588260447-2d9d2e3bd7b5?w=400&h=400&fit=crop""]",TRUE,2025-07-11 15:40:58.807068+00,2025-07-11 15:40:58.807068+00,0,0
2002,UPL Advanta 12021 F1 Hybrid Tomato Seeds,"UPL Advanta 12021 F1 Hybrid Tomato Seeds - High Performance Determinate Variety. Premium F1 hybrid tomato variety developed by UPL Limited. Determinate growth habit suitable for mechanical harvesting. Uniform fruit ripening with excellent color development. High fruit setting capacity even under stress conditions. Plant Height: 60-80 cm. Fruit Weight: 70-90 grams per fruit. Days to Maturity: 65-70 days from transplanting. Average yield: 20-25 tons per acre. Package: 10 grams (approximately 3500-4000 seeds).",349,Seeds,Vegetable Seeds,UPL Advanta,8524a391-b371-42f3-86fe-a6f095fab145,120,"[""https://images.unsplash.com/photo-1546470427-e26264be0b0d?w=400&h=400&fit=crop""]",TRUE,2025-07-11 15:40:58.807068+00,2025-07-11 15:40:58.807068+00,0,0
2003,Gentex Remi LX 958 F1 Hybrid Chilli Seeds,"Gentex Remi LX 958 F1 Hybrid Chilli Seeds - Premium Hot Chilli Variety. Superior F1 hybrid chilli variety developed by Gentex Seeds. High pungency level with excellent flavor profile. Uniform fruit size and shape with attractive appearance. Strong plant vigor with good branching habit. Extended harvesting period with continuous fruit setting. Plant Height: 80-100 cm. Fruit Length: 8-10 cm long, slender shape. Days to First Harvest: 60-65 days from transplanting. Fresh yield: 12-15 tons per acre. Package: 10 grams (approximately 1500-1800 seeds).",279,Seeds,Vegetable Seeds,Gentex,8524a391-b371-42f3-86fe-a6f095fab145,100,"[""https://images.unsplash.com/photo-1583663848850-46af132dc08e?w=400&h=400&fit=crop""]",TRUE,2025-07-11 15:40:58.807068+00,2025-07-11 15:40:58.807068+00,0,0
2004,Syngenta NS 404 F1 Hybrid Cucumber Seeds,"Syngenta NS 404 F1 Hybrid Cucumber Seeds - Premium Slicing Cucumber Variety. High-performance F1 hybrid cucumber variety developed by Syngenta. Excellent fruit quality with uniform size and shape. High yield potential with extended harvesting period. Strong plant vigor with good disease resistance. Suitable for both fresh market and processing. Vine Length: 2-3 meters. Fruit Length: 18-22 cm. Fruit Weight: 150-200 grams per fruit. Days to First Harvest: 45-50 days from sowing. Average yield: 15-20 tons per acre. Package: 100 grams (approximately 3000-3500 seeds).",399,Seeds,Vegetable Seeds,Syngenta,8524a391-b371-42f3-86fe-a6f095fab145,80,"[""https://images.unsplash.com/photo-1449824913935-59a10b8d2000?w=400&h=400&fit=crop""]",TRUE,2025-07-11 15:40:58.807068+00,2025-07-11 15:40:58.807068+00,0,0
2005,Seminis Malini F1 Hybrid Cucumber Seeds,"Seminis Malini F1 Hybrid Cucumber Seeds - Superior Quality Pickling Cucumber. Premium F1 hybrid cucumber variety from Seminis. Ideal for both pickling and fresh consumption. Uniform fruit size perfect for commercial processing. High fruit setting capacity under various conditions. Excellent disease resistance package. Plant Type: Determinate bush type. Fruit Length: 12-15 cm ideal for pickling. Fruit Weight: 80-120 grams per fruit. Days to Maturity: 40-45 days from sowing. Expected yield: 12-18 tons per acre. Package: 50 grams (approximately 1500-2000 seeds).",329,Seeds,Vegetable Seeds,Seminis,8524a391-b371-42f3-86fe-a6f095fab145,90,"[""https://images.unsplash.com/photo-1604977042946-1eecc30f269e?w=400&h=400&fit=crop""]",TRUE,2025-07-11 15:40:58.807068+00,2025-07-11 15:40:58.807068+00,0,0
2006,Raadhika F1 Hybrid Okra Seeds,"Raadhika F1 Hybrid Okra (Bhindi) Seeds - Premium Quality High Yielding Variety. Superior F1 hybrid okra variety developed by Advanta Seeds. High yielding F1 hybrid with consistent performance. Uniform fruit size and shape with attractive green color. Strong plant vigor with good branching habit. Extended harvesting period with continuous fruit production. Plant Height: 120-150 cm. Fruit Length: 12-15 cm at harvest maturity. Days to First Harvest: 45-50 days from sowing. Average yield: 12-15 tons per acre. Package: 500 grams (approximately 12000-15000 seeds).",249,Seeds,Vegetable Seeds,Advanta,8524a391-b371-42f3-86fe-a6f095fab145,200,"[""https://images.unsplash.com/photo-1597714026720-8f74c62310ba?w=400&h=400&fit=crop""]",TRUE,2025-07-11 15:40:58.807068+00,2025-07-11 15:40:58.807068+00,0,0
2007,Black Diamond F1 Hybrid Brinjal Seeds,"Black Diamond F1 Hybrid Brinjal (Eggplant) Seeds - Premium Long Purple Variety. Superior F1 hybrid brinjal variety known for excellent fruit quality. Long, attractive purple fruits with glossy appearance. Strong plant vigor with good branching and fruit setting. Excellent disease resistance package. Extended harvesting period with continuous production. Plant Height: 80-100 cm. Fruit Length: 18-22 cm long, cylindrical shape. Fruit Weight: 200-250 grams per fruit. Days to First Harvest: 65-70 days from transplanting. Expected yield: 25-30 tons per acre. Package: 10 grams (approximately 2500-3000 seeds).",389,Seeds,Vegetable Seeds,FB Seeds,8524a391-b371-42f3-86fe-a6f095fab145,75,"[""https://images.unsplash.com/photo-1615485290382-441e4d049cb5?w=400&h=400&fit=crop""]",TRUE,2025-07-11 15:40:58.807068+00,2025-07-11 15:40:58.807068+00,0,0
2008,Syngenta Ivory White Radish Seeds,"Syngenta Ivory White Radish Seeds - Premium Quality Fast Growing Variety. Superior radish variety developed by Syngenta. Fast growing variety with quick maturity. Uniform white roots with attractive appearance. Crisp texture with mild, sweet flavor. Good storage quality with extended shelf life. Root Length: 15-20 cm long, cylindrical shape. Root Weight: 150-200 grams per root. Days to Maturity: 35-40 days from sowing. Average yield: 20-25 tons per acre. Package: 500 grams (approximately 25000-30000 seeds).",199,Seeds,Vegetable Seeds,Syngenta,8524a391-b371-42f3-86fe-a6f095fab145,180,"[""https://images.unsplash.com/photo-1597362925123-77861d3fbac7?w=400&h=400&fit=crop""]",TRUE,2025-07-11 15:40:58.807068+00,2025-07-11 15:40:58.807068+00,0,0
2009,All Season Spinach Seeds,"All Season Spinach Seeds - Nutritious Leafy Green Vegetable. Versatile variety that can be grown throughout the year. Fast growing with tender, nutritious leaves. High yielding variety with multiple harvests. Good bolt resistance in varying temperatures. Rich in vitamins, minerals, and antioxidants. Plant Height: 15-25 cm at harvest maturity. Days to First Harvest: 25-30 days from sowing. Expected yield: 8-12 tons per acre. Multiple harvests from single sowing. Package: 500 grams (approximately 15000-20000 seeds).",159,Seeds,Vegetable Seeds,Green Valley,8524a391-b371-42f3-86fe-a6f095fab145,250,"[""https://images.unsplash.com/photo-1576045057995-568f588f82fb?w=400&h=400&fit=crop""]",TRUE,2025-07-11 15:40:58.807068+00,2025-07-11 15:40:58.807068+00,0,0
2010,Pusa Kesar Carrot Seeds,"Pusa Kesar Carrot Seeds - Premium Orange Root Vegetable. Popular carrot variety developed by IARI. Excellent root quality with uniform orange color. High carotene content with superior nutritional value. Good storage quality with extended shelf life. Suitable for both fresh market and processing. Root Length: 15-20 cm long, conical shape. Root Weight: 100-150 grams per root. Days to Maturity: 90-100 days from sowing. Expected yield: 25-30 tons per acre. Package: 500 grams (approximately 200000-250000 seeds).",229,Seeds,Vegetable Seeds,IARI Pusa,8524a391-b371-42f3-86fe-a6f095fab145,160,"[""https://images.unsplash.com/photo-1598170845058-32b9d6a5da37?w=400&h=400&fit=crop""]",TRUE,2025-07-11 15:40:58.807068+00,2025-07-11 15:40:58.807068+00,0,0
